place_id,정본후보(kakao_name),조각수,spot_name,bloggers,road_address,검수(비움: 잘못묶임=X)
335628343,노바운더리 제주,3,카페 노바운더리,48,제주특별자치도 서귀포시 표선면 번영로 2610,
499827708,세화카페텐더럽,3,세화카페텐더럽,32,제주특별자치도 제주시 구좌읍 해맞이해안로 1426,
499827708,세화카페텐더럽,3,카페텐더럽,18,제주특별자치도 제주시 구좌읍 해맞이해안로 1426,
499827708,세화카페텐더럽,3,텐더럽카페,3,제주특별자치도 제주시 구좌읍 해맞이해안로 1426,
773271089,유동커피 소금공장점,3,유동커피소금공장,88,제주특별자치도 제주시 용마서1길 30,
773271089,유동커피 소금공장점,3,유동커피 소금공장점,87,제주특별자치도 제주시 용마서1길 30,
773271089,유동커피 소금공장점,3,유동커피,76,제주특별자치도 제주시 용마서1길 30,
808417339,제주당,3,제주당,95,제주특별자치도 제주시 애월읍 월각로 927,
808417339,제주당,3,제주당 베이커리,67,제주특별자치도 제주시 애월읍 월각로 927,
808417339,제주당,3,제주당 베이커리 카페,43,제주특별자치도 제주시 애월읍 월각로 927,
898585862,카페한라산,3,한라산,84,제주특별자치도 제주시 구좌읍 면수1길 48,
898585862,카페한라산,3,카페 한라산,41,제주특별자치도 제주시 구좌읍 면수1길 48,
898585862,카페한라산,3,카페한라산,41,제주특별자치도 제주시 구좌읍 면수1길 48,
1011635289,목장카페밭디,2,목장카페 밭디,91,제주특별자치도 서귀포시 표선면 번영로 2486,
1011635289,목장카페밭디,2,목장카페밭디,91,제주특별자치도 서귀포시 표선면 번영로 2486,
1089591928,픽업,2,픽업 카페,90,제주특별자치도 제주시 남성로 167,
1089591928,픽업,2,픽업카페,90,제주특별자치도 제주시 남성로 167,
1114392673,공회당,2,공회당 (카페),63,제주특별자치도 제주시 구좌읍 종달로5길 33-1,
1114392673,공회당,2,공회당,58,제주특별자치도 제주시 구좌읍 종달로5길 33-1,
11332661,오설록 티뮤지엄,2,오설록티뮤지엄,88,제주특별자치도 서귀포시 안덕면 신화역사로 15,
11332661,오설록 티뮤지엄,2,오설록 티 뮤지엄 (카페),82,제주특별자치도 서귀포시 안덕면 신화역사로 15,
1133384427,호랑호랑카페,2,호랑호랑 카페,19,,
1133384427,호랑호랑카페,2,호랑호랑카페,19,,
1134184953,애월카페거리,2,애월 카페거리,78,,
1134184953,애월카페거리,2,애월카페거리,78,,
1138154447,오늘도화창,2,오늘도화창,61,제주특별자치도 제주시 구좌읍 월정5길 56,
1138154447,오늘도화창,2,오늘도화창 (카페),57,제주특별자치도 제주시 구좌읍 월정5길 56,
119385518,비케이브,2,비케이브,62,제주특별자치도 제주시 조천읍 동백로 122,
119385518,비케이브,2,비케이브 (Bee cave),21,제주특별자치도 제주시 조천읍 동백로 122,
1213404623,카페 레크레,2,레크레,80,제주특별자치도 제주시 신비마을1길 54,
1213404623,카페 레크레,2,레크레카페,23,제주특별자치도 제주시 신비마을1길 54,
12235169,오뚜기빵집,2,오뚜기 빵집,50,제주특별자치도 서귀포시 남원읍 태위로 129,
12235169,오뚜기빵집,2,오뚜기빵집,50,제주특별자치도 서귀포시 남원읍 태위로 129,
1228817833,무슈부부커피스탠드 오리진,2,무슈부부커피스탠드,86,제주특별자치도 제주시 구좌읍 구좌로 53,
1228817833,무슈부부커피스탠드 오리진,2,무슈부부커피스탠드 오리진,61,제주특별자치도 제주시 구좌읍 구좌로 53,
124717607,스나오코히,2,스나오 코히,76,제주특별자치도 서귀포시 하신상로9번길 2,
124717607,스나오코히,2,스나오코히,76,제주특별자치도 서귀포시 하신상로9번길 2,
1265114317,바이러닉 에스프레소바 제주도점,2,바이러닉 에스프레소 바 제주점,78,제주특별자치도 제주시 테우해안로 96,
1265114317,바이러닉 에스프레소바 제주도점,2,바이러닉,58,제주특별자치도 제주시 테우해안로 96,
